System ID,,"4483J11304"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-D-6061-Butt"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:32:04 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"6061"
Weld Type,,"Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.68"
Specimen Thickness t,(mm),"9.41"
Weld Thickness tw,(mm),"15.40"
Specimen Gage Length,(mm),"64.97"
Fracture Type and Location,,""
Unwelded Gap Thickness tg (mm),,"5.87"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"16.26"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.1425"
"0.50","0.03","0.4762"
"1.00","0.06","0.8860"
"1.50","0.09","1.151"
"2.00","0.13","1.347"
"2.50","0.16","1.538"
"3.00","0.19","1.738"
"3.50","0.23","1.950"
"4.00","0.26","2.163"
"4.50","0.29","2.381"
"5.00","0.33","2.604"
"5.50","0.36","2.833"
"6.00","0.39","3.069"
"6.50","0.43","3.311"
"7.00","0.46","3.553"
"7.50","0.49","3.793"
"8.00","0.53","4.031"
"8.50","0.56","4.267"
"9.00","0.59","4.509"
"9.50","0.63","4.746"
"10.00","0.66","4.983"
"10.50","0.69","5.214"
"11.00","0.73","5.447"
"11.50","0.76","5.672"
"12.00","0.79","5.873"
"12.50","0.83","6.072"
"13.00","0.86","6.273"
"13.50","0.89","6.479"
"14.00","0.93","6.687"
"14.50","0.96","6.900"
"15.00","0.99","7.120"
"15.50","1.03","7.332"
"16.00","1.06","7.550"
"16.50","1.09","7.767"
"17.00","1.13","7.986"
"17.50","1.16","8.213"
"18.00","1.19","8.437"
"18.50","1.23","8.662"
"19.00","1.26","8.884"
"19.50","1.29","9.113"
"20.00","1.33","9.338"
"20.50","1.36","9.568"
"21.00","1.39","9.797"
"21.50","1.43","10.03"
"22.00","1.46","10.26"
"22.50","1.49","10.49"
"23.00","1.53","10.72"
"23.50","1.56","10.96"
"24.00","1.59","11.19"
"24.50","1.63","11.43"
"25.00","1.66","11.66"
"25.50","1.69","11.90"
"26.00","1.73","12.13"
"26.50","1.76","12.37"
"27.00","1.79","12.60"
"27.50","1.83","12.84"
"28.00","1.86","13.07"
"28.50","1.89","13.30"
"29.00","1.93","13.53"
"29.50","1.96","13.76"
"30.00","1.99","13.98"
"30.50","2.03","14.21"
"31.00","2.06","14.43"
"31.50","2.09","14.65"
"32.00","2.13","14.86"
"32.50","2.16","15.07"
"33.00","2.19","15.26"
"33.50","2.23","15.44"
"34.00","2.26","15.63"
"34.50","2.29","15.81"
"35.00","2.33","15.95"
"35.50","2.36","16.08"
"36.00","2.39","16.18"
"36.50","2.43","16.26"
"37.00","2.46","16.23"
"37.50","2.49","16.07"
"38.00","2.53","15.92"
"38.50","2.56","15.77"
"39.00","2.59","15.61"
"39.50","2.63","15.31"
"40.00","2.66","14.94"
"40.50","2.69","14.56"
"41.00","2.73","13.84"
"41.50","2.76","4.638"
"42.00","2.79","4.976"
"42.50","2.83","5.078"
"43.00","2.86","4.628"
"43.50","2.89","0.003939"
"44.00","2.93","0.003939"
"44.50","2.96","0.004135"
"45.00","2.99","0.004618"
"45.25","3.01","0.003769"

