System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-C-6061-Cham"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:32:23 PM"
Course,,"NPRE 432"
Lab Section Number,,"2"
Group,,"C"
Material,,"6061"
Weld Type,,"Chamfer"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.24"
Specimen Thickness t,(mm),"9.55"
Weld Thickness tw,(mm),"13.69"
Specimen Gage Length,(mm),"56.84"
Fracture Type and Location,,"brittle"
Unwelded Gap Thickness tg (mm),,"2.52"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"22.69"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.1061"
"0.50","0.03","0.4396"
"1.00","0.06","0.8466"
"1.50","0.10","1.232"
"2.00","0.13","1.548"
"2.50","0.16","1.811"
"3.00","0.20","2.036"
"3.50","0.23","2.240"
"4.00","0.26","2.440"
"4.50","0.30","2.619"
"5.00","0.33","2.797"
"5.50","0.36","2.971"
"6.00","0.40","3.152"
"6.50","0.43","3.320"
"7.00","0.46","3.485"
"7.50","0.50","3.650"
"8.00","0.53","3.815"
"8.50","0.56","3.978"
"9.00","0.60","4.143"
"9.50","0.63","4.308"
"10.00","0.66","4.470"
"10.50","0.70","4.638"
"11.00","0.73","4.806"
"11.50","0.76","4.979"
"12.00","0.80","5.158"
"12.50","0.83","5.339"
"13.00","0.86","5.518"
"13.50","0.90","5.700"
"14.00","0.93","5.883"
"14.50","0.96","6.066"
"15.00","1.00","6.255"
"15.50","1.03","6.443"
"16.00","1.06","6.633"
"16.50","1.10","6.827"
"17.00","1.13","7.020"
"17.50","1.16","7.215"
"18.00","1.20","7.412"
"18.50","1.23","7.605"
"19.00","1.26","7.808"
"19.50","1.30","8.013"
"20.00","1.33","8.214"
"20.50","1.36","8.415"
"21.00","1.40","8.621"
"21.50","1.43","8.825"
"22.00","1.46","9.033"
"22.50","1.50","9.242"
"23.00","1.53","9.450"
"23.50","1.56","9.661"
"24.00","1.60","9.873"
"24.50","1.63","10.08"
"25.00","1.66","10.30"
"25.50","1.70","10.51"
"26.00","1.73","10.72"
"26.50","1.76","10.94"
"27.00","1.80","11.16"
"27.50","1.83","11.37"
"28.00","1.86","11.59"
"28.50","1.90","11.81"
"29.00","1.93","12.03"
"29.50","1.96","12.25"
"30.00","2.00","12.46"
"30.50","2.03","12.68"
"31.00","2.06","12.90"
"31.50","2.10","13.12"
"32.00","2.13","13.34"
"32.50","2.16","13.56"
"33.00","2.20","13.78"
"33.50","2.23","14.00"
"34.00","2.26","14.22"
"34.50","2.30","14.44"
"35.00","2.33","14.66"
"35.50","2.36","14.87"
"36.00","2.40","15.09"
"36.50","2.43","15.31"
"37.00","2.46","15.52"
"37.50","2.50","15.74"
"38.00","2.53","15.96"
"38.50","2.56","16.17"
"39.00","2.60","16.39"
"39.50","2.63","16.60"
"40.00","2.66","16.81"
"40.50","2.70","17.02"
"41.00","2.73","17.24"
"41.50","2.76","17.44"
"42.00","2.80","17.65"
"42.50","2.83","17.86"
"43.00","2.86","18.06"
"43.50","2.90","18.26"
"44.00","2.93","18.46"
"44.50","2.96","18.65"
"45.00","3.00","18.85"
"45.50","3.03","19.04"
"46.00","3.06","19.23"
"46.50","3.10","19.41"
"47.00","3.13","19.59"
"47.50","3.16","19.77"
"48.00","3.20","19.94"
"48.50","3.23","20.11"
"49.00","3.26","20.28"
"49.50","3.30","20.45"
"50.00","3.33","20.61"
"50.50","3.36","20.77"
"51.00","3.40","20.93"
"51.50","3.43","21.09"
"52.00","3.46","21.25"
"52.50","3.50","21.39"
"53.00","3.53","21.54"
"53.50","3.56","21.69"
"54.00","3.60","21.83"
"54.50","3.63","21.97"
"55.00","3.66","22.09"
"55.50","3.70","22.21"
"56.00","3.73","22.33"
"56.50","3.76","22.43"
"57.00","3.80","22.52"
"57.50","3.83","22.62"
"58.00","3.86","22.69"
"58.50","3.90","22.66"
"59.00","3.93","22.53"
"59.50","3.96","21.63"
"60.00","4.00","20.63"
"60.50","4.03","0.01154"
"61.00","4.06","0.008354"
"61.50","4.10","0.009520"
"62.00","4.13","0.009880"
"62.50","4.16","0.01097"
"63.00","4.20","0.01192"
"63.50","4.23","0.01251"
"64.00","4.26","0.01301"
"64.50","4.30","0.01370"
"64.85","4.32","0.01398"

